source,target,community
Kavya Kopparapu,Igor Mordatch,32
Ramona Comanescu,Joel Z. Leibo,32
Ramona Comanescu,DJ Strouse,32
Ramona Comanescu,Dean Mobbs,32
Ramona Comanescu,Sukhdeep Singh,32
Ramona Comanescu,Julia Haas,32
Ramona Comanescu,Michael B. Johanson,32
Ramona Comanescu,Igor Mordatch,32
DJ Strouse,Joel Z. Leibo,32
DJ Strouse,Dean Mobbs,32
DJ Strouse,Sukhdeep Singh,32
DJ Strouse,Julia Haas,32
DJ Strouse,Michael B. Johanson,32
DJ Strouse,Igor Mordatch,32
Michael B. Johanson,Joel Z. Leibo,32
Michael B. Johanson,Dean Mobbs,32
Michael B. Johanson,Sukhdeep Singh,32
Michael B. Johanson,Julia Haas,32
Michael B. Johanson,Igor Mordatch,32
Sukhdeep Singh,Joel Z. Leibo,32
Sukhdeep Singh,Dean Mobbs,32
Sukhdeep Singh,Julia Haas,32
Sukhdeep Singh,Igor Mordatch,32
Julia Haas,Joel Z. Leibo,32
Julia Haas,Dean Mobbs,32
Julia Haas,Igor Mordatch,32
Igor Mordatch,Joel Z. Leibo,32
Igor Mordatch,Dean Mobbs,32
Dean Mobbs,Joel Z. Leibo,32
Natalya Weber,Werner Koch,44
Natalya Weber,Tom Froese,44
Werner Koch,Tom Froese,44
Tom Froese,Nathaniel Virgo,44
Tom Froese,Takashi Ikegami,44
Stuart Bartlett,David Louapre,47
Sudev Pradhan,Anshuman Padhi,49
Sudev Pradhan,Bikash Kumar Behera,49
Anshuman Padhi,Bikash Kumar Behera,49
Fabien Furfaro,Avner Bar-Hen,53
Fabien Furfaro,Geoffroy Berthelot,53
Avner Bar-Hen,Geoffroy Berthelot,53
James M. Borg,Andrew Buskell,61
James M. Borg,Matt Grove,61
James M. Borg,Fiona Polack,61
James M. Borg,Rohan Kapitany,61
James M. Borg,Claudio Tennie,61
James M. Borg,Simon T. Powers,61
James M. Borg,Eva Reindl,61
Andrew Buskell,Rohan Kapitany,61
Andrew Buskell,Claudio Tennie,61
Andrew Buskell,Simon T. Powers,61
Andrew Buskell,Eva Reindl,61
Rohan Kapitany,Claudio Tennie,61
Rohan Kapitany,Simon T. Powers,61
Rohan Kapitany,Eva Reindl,61
Simon T. Powers,Claudio Tennie,61
Simon T. Powers,Eva Reindl,61
Eva Reindl,Claudio Tennie,61
Aaron Dharna,L. B. Soros,65
Aaron Dharna,Amy K Hoover,65
Amy K Hoover,L. B. Soros,65
Matthew Andres Moreno,Charles Ofria,70
Matthew Andres Moreno,Santiago Rodriguez Papa,70
Matthew Andres Moreno,Alexander Lalejini,70
Alexander Lalejini,Charles Ofria,70
Alexander Lalejini,Santiago Rodriguez Papa,70
Charles Ofria,Marc Parizeau,17
Charles Ofria,Julie Beaulieu,17
Charles Ofria,William F. Punch,17
Charles Ofria,Kenneth O. Stanley,17
Charles Ofria,Samuel Bernard,17
Charles Ofria,Leni Le Goff,17
Charles Ofria,Marc Schoenauer,17
Charles Ofria,Risto Miikkulainen,17
Charles Ofria,Jeff Clune,17
Charles Ofria,Babak Hodjat,17
Charles Ofria,Danesh Tarapore,17
Charles Ofria,Antoine Cully,17
Charles Ofria,Robert MacCurdy,17
Charles Ofria,Jean-Baptiste Mouret,17
Charles Ofria,Jason Yosinski,17
